0;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
1;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
2;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
3;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
4;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
5;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
6;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
7;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
8;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
9;[alligator.png, anteater.png, armadillo.png, auroch.png, axolotl.png, badger.png, bat.png, beaver.png, buffalo.png, camel.png, capybara.png, chameleon.png, cheetah.png, chinchilla.png, chipmunk.png, chupacabra.png, cormorant.png, coyote.png, crow.png, dingo.png, dinosaur.png, dolphin.png, duck.png, elephant.png, ferret.png, fox.png, frog.png, giraffe.png, gopher.png, grizzly.png, hedgehog.png, hippo.png, hyena.png, ibex.png, ifrit.png, iguana.png, jackal.png, kangaroo.png, koala.png, kraken.png, lemur.png, leopard.png, liger.png, llama.png, manatee.png, mink.png, monkey.png, moose.png, narwhal.png, orangutan.png, otter.png, panda.png, penguin.png, platypus.png, pumpkin.png, python.png, quagga.png, rabbit.png, raccoon.png, rhino.png, sheep.png, shrew.png, skunk.png, squirrel.png, tiger.png, turtle.png, walrus.png, wolf.png, wolverine.png, wombat.png]
